KHeaveCPF,FRH,EPlankF,run
535.0,21.2,54.85160226379257,FRH 21p2 KHeaveCPF 535 200kph_DLS
612.0,21.2,68.24133890200353,FRH 21p2 KHeaveCPF 612 200kph_DLS
469.0,22.6,61.541207331722084,FRH 22p6 KHeaveCPF 469 200kph_DLS
564.0,22.6,61.14632302188243,FRH 22p6 KHeaveCPF 564 200kph_DLS
648.0,22.6,47.90090406662843,FRH 22p6 KHeaveCPF 648 200kph_DLS
390.0,24.2,69.53437804031068,FRH 24p2 KHeaveCPF 390 200kph_DLS
535.0,24.2,28.5877989214823,FRH 24p2 KHeaveCPF 535 200kph_DLS
612.0,24.2,33.339674310818864,FRH 24p2 KHeaveCPF 612 200kph_DLS
535.0,25.2,23.11022918613331,FRH 25p2 KHeaveCPF 535 200kph_DLS
612.0,25.2,25.83162498050503,FRH 25p2 KHeaveCPF 612 200kph_DLS
530.0,25.5,24.412303961904627,FRH 25p5 KHeaveCPF 530 200kph_DLS
559.0,25.5,25.34399161120759,FRH 25p5 KHeaveCPF 559 200kph_DLS
394.0,28.2,33.776762330954845,FRH 28p2 KHeaveCPF 394 200kph_DLS
